id;name;detail;entity_name;creation_date;last_updated
1;Re-engineered Dynamic;morph Representative Advanced;South Circle;2021-07-24T09:10:02;2021-07-24T04:09:29
2;Pine New;Automotive conglomeration indigo;microchip;2021-07-23T23:25:11;2021-07-23T17:43:17
3;Shirt transmitting;Jewelery Tugrik Books;web-enabled;2021-07-23T16:53:43;2021-07-24T12:27:13
4;Music Paradigm;Japan Dakota Strategist;bus Avon Fantastic;2021-07-24T05:35:31;2021-07-23T20:11:41
5;Automotive;Licensed Right-sized Garden;Dynamic Cotton Personal;2021-07-23T18:50:02;2021-07-23T14:26:13
6;Research;Bedfordshire Steel Cambridgeshire;Hill empower enable;2021-07-24T02:15:14;2021-07-23T23:00:55
7;Directives monitor Car;application Investment connecting;Cambridgeshire Pizza high-level;2021-07-23T14:06:54;2021-07-23T21:12:38
8;SAS;Borders;Administrator;2021-07-23T18:30:39;2021-07-24T03:22:58
9;Shilling;Soap;redundant;2021-07-24T10:38:02;2021-07-24T12:49:23
10;state;Berkshire;proactive Alabama;2021-07-24T07:03:44;2021-07-24T07:06:37
