id;name;detail;end_time;start_time;status;previous_run_time;creation_date;last_updated;user_id
1;Chair Shilling open-source;Loan client-driven Home;2021-07-24T11:04:39;2021-07-23T23:45:17;FAILED;Metal;2021-07-24T09:23:36;2021-07-24T11:41:11;1
2;Port Views;optical XSS;2021-07-24T02:08:31;2021-07-24T09:35:14;SUCCEEDED;Car;2021-07-23T20:05:21;2021-07-24T12:12:30;2
3;Wooden;Program;2021-07-23T23:02:26;2021-07-24T06:19:48;FAILED;dynamic Awesome;2021-07-23T23:45:20;2021-07-24T13:25:29;2
4;Investor Cotton;card Pants;2021-07-24T05:07:04;2021-07-24T07:28:41;SUCCEEDED;program Market Alabama;2021-07-24T08:28:21;2021-07-24T03:21:28;1
5;Uganda;Wyoming;2021-07-24T01:34:42;2021-07-23T20:47:38;SUCCEEDED;deliverables Toys;2021-07-24T04:54:05;2021-07-24T10:36:06;2
6;red;impactful;2021-07-23T14:36:47;2021-07-24T05:32:33;FAILED;microchip;2021-07-24T03:42:33;2021-07-23T17:10:35;2
7;ROI compressing;Grenada;2021-07-23T21:01:56;2021-07-23T18:08:14;SUCCEEDED;Web Analyst port;2021-07-24T05:20:28;2021-07-24T02:21:09;2
8;infomediaries metrics;quantifying ADP;2021-07-24T07:29:33;2021-07-24T04:23:15;FAILED;seize interface;2021-07-23T19:01:49;2021-07-24T07:17:40;1
9;protocol;Handmade harness;2021-07-24T05:21:39;2021-07-23T22:14:04;SUCCEEDED;architectures Tugrik Steel;2021-07-24T09:55:28;2021-07-24T01:41:35;2
10;program enable analyzer;Incredible;2021-07-23T16:46:45;2021-07-23T18:26:24;SUCCEEDED;Jordan Reverse-engineered;2021-07-24T07:48:22;2021-07-24T04:09:38;1
