id;name;detail;recognizer_name;creation_date;last_updated
1;Underpass PNG;sky best-of-breed Planner;Engineer SDD;2021-07-24T13:25:05;2021-07-24T01:26:20
2;Small;ADP;Card;2021-07-24T03:41:26;2021-07-23T17:56:33
3;Multi-channelled Tasty Plastic;Cambridgeshire Principal;monitor Soap web-readiness;2021-07-23T22:01:54;2021-07-24T03:57:24
4;e-commerce Jewelery;navigating foreground;Pitcairn system;2021-07-23T19:45:40;2021-07-23T17:55:11
5;utilisation Liaison;channels quantifying;expedite deposit;2021-07-24T02:34:52;2021-07-24T13:30:14
6;payment;Quality;coherent blockchains frictionless;2021-07-24T02:46:59;2021-07-24T08:34:51
7;Pike solution-oriented enterprise;Bedfordshire Radial;Cambridgeshire;2021-07-24T04:21:35;2021-07-24T12:18:18
8;Toys ivory;Bosnia Handmade;Sleek Berkshire;2021-07-23T16:43:16;2021-07-23T20:03:41
9;River input;Lodge;Pizza Cambridgeshire;2021-07-23T16:51:06;2021-07-24T13:04:26
10;Cotton;Prairie connecting Investment;system Intelligent;2021-07-24T09:51:50;2021-07-23T15:12:30
