id;name;detail;version;app_type;creation_date;last_updated
1;Car Carolina;Tools;azure Shoes;CRM;2021-07-24T08:27:54;2021-07-24T11:36:24
2;hybrid Bedfordshire PCI;Kwacha;Card;CRM;2021-07-24T05:19:57;2021-07-24T07:06:00
3;Lead;compelling;ADP;MOBILE;2021-07-24T07:43:26;2021-07-24T12:01:05
4;Music;Sharable Vermont French;EXE;HR;2021-07-24T13:34:09;2021-07-24T07:37:15
5;Assurance Metical;Avon;Soap;ANALYTICS;2021-07-23T15:21:41;2021-07-24T13:11:11
6;auxiliary Palau;Cambridgeshire Litas;lavender Guiana open-source;SERVICE;2021-07-23T18:41:45;2021-07-24T04:58:14
7;magenta Bike Electronics;Mexico Table Estate;Credit;HELPDESK;2021-07-24T02:48:20;2021-07-24T04:07:23
8;sensor Bike Granite;Avon Loop;Fiji;WEB;2021-07-24T12:56:19;2021-07-24T05:31:07
9;Singapore transmitting;copy generate;hack;BI;2021-07-23T19:49:42;2021-07-24T08:18:04
10;Computer bypass bluetooth;deploy Miquelon Islands;empower;CRM;2021-07-24T04:03:59;2021-07-23T22:43:49
