id;name;detail;type;purpose;creation_date;last_updated
1;payment;Customer;INTEGRATED;MASKING;2021-07-23T16:16:36;2021-07-24T10:21:53
2;Customer-focused;Secured indexing;OTHER;PROFILING;2021-07-23T16:26:58;2021-07-24T04:25:19
3;regional;strategize;STAGING;PROFILING;2021-07-24T13:10:42;2021-07-24T08:51:06
4;Mobility leverage partnerships;Incredible users;TESTING;REPORTING;2021-07-23T18:46:18;2021-07-23T16:19:38
5;Hampshire;SQL;TESTING;MASKING;2021-07-23T18:32:42;2021-07-23T15:27:39
6;Assurance Pizza;Handcrafted;STANDALONE;PROFILING;2021-07-23T21:16:29;2021-07-24T11:01:45
7;Gorgeous USB;Unbranded Avon;PRODUCTION;PROFILING;2021-07-23T21:55:16;2021-07-24T10:49:07
8;invoice;disintermediate Senior North;TESTING;MASKING;2021-07-24T08:52:53;2021-07-24T09:24:49
9;Functionality;Coordinator Italy;PRODUCTION;PROFILING;2021-07-24T12:16:59;2021-07-24T05:09:54
10;IB invoice Germany;Agent Beauty;PRODUCTION;REPORTING;2021-07-23T17:56:33;2021-07-23T21:40:42
