id;name;detail;file_type;file_path;column_name_line_number;encoding;separator_char;quote_char;escape_char;fixed_value_width;skip_empty_lines;skip_empty_columns;fail_on_inconsistent_line_width;skip_ebcdic_header;eol_present;creation_date;last_updated
1;Bedfordshire;forecast;PARQUET;Kids;34977;Franc;Comoros;Borders Wisconsin navigating;solutions Niger Coordinator;68077;true;true;false;true;true;2021-07-23T15:59:57;2021-07-23T19:48:04
2;Pizza withdrawal Grocery;sticky;NOSQL;fresh-thinking Card Indian;61349;Steel unleash;Profit-focused;Concrete;copy optical;34599;true;true;true;true;true;2021-07-24T01:41:39;2021-07-24T12:45:56
3;Industrial;Lari Licensed;QMS;deposit;68326;enhance Handcrafted radical;array Sleek intuitive;grid-enabled Chips;Refined 1080p;13059;false;true;false;true;false;2021-07-23T23:17:10;2021-07-24T12:16:36
4;District Concrete Facilitator;withdrawal Officer Computers;FIXED;empower;52251;Polarised invoice Extended;Brand;Agent;Data;47669;true;false;true;true;false;2021-07-23T17:49:41;2021-07-23T15:10:09
5;cyan Plastic;Organized;JDBC;withdrawal grid-enabled Chips;89413;e-markets Computers;Square payment Investment;overriding feed plum;quantify;89725;true;false;true;false;true;2021-07-23T19:49:25;2021-07-24T04:02:58
6;alarm;Avon Gateway;XLS;Frozen virtual Money;14396;maximize quantify copy;back-end Soft synthesize;Intuitive;paradigms envisioneer;17851;true;true;true;true;false;2021-07-24T01:10:42;2021-07-23T14:05:16
7;Bedfordshire cross-platform;Tunisia Pakistan;ARVO;Refined Practical tangible;95804;reboot Metical;heuristic Rustic;District navigating JSON;withdrawal;23422;true;false;true;false;true;2021-07-23T14:09:36;2021-07-23T20:42:31
8;Consultant;attitude e-commerce Plastic;XML;Synchronised haptic;20115;Metal connecting Beauty;Concrete Shilling;markets Shoes Horizontal;HDD 24/365;21021;true;false;false;false;false;2021-07-24T12:33:24;2021-07-24T03:58:54
9;bypass;multi-byte Manager;QMS;tan whiteboard;72201;communities protocol Human;copying;benchmark;Generic compress;35544;true;false;false;true;false;2021-07-23T19:40:05;2021-07-24T05:34:20
10;frame;Tasty;NOSQL;Table ROI;36673;Lats;withdrawal;Sports bluetooth Unbranded;Florida;42137;false;false;false;true;false;2021-07-24T11:45:35;2021-07-23T19:53:50
