id;table_name;creation_date;last_updated
1;cyan;2021-07-24T06:52:54;2021-07-23T16:46:58
2;SDD frictionless;2021-07-24T08:23:11;2021-07-24T09:36:30
3;success Central multi-state;2021-07-24T09:42:08;2021-07-23T22:17:16
4;Brazil Terrace;2021-07-24T09:51:44;2021-07-23T23:10:51
5;Chile Persevering Tuna;2021-07-23T15:11:23;2021-07-24T07:54:44
6;Health solution-oriented;2021-07-23T20:50:40;2021-07-24T12:33:36
7;Crossroad Music Regional;2021-07-24T10:48:05;2021-07-24T02:59:14
8;Incredible Forward Practical;2021-07-24T10:22:45;2021-07-24T08:39:59
9;blockchains;2021-07-24T12:22:26;2021-07-24T00:03:02
10;Marketing;2021-07-24T07:28:23;2021-07-23T23:04:43
