id;column_name;column_type;column_size;is_nullable;is_primary_key;is_foreign_key;is_indexed;creation_date;last_updated
1;deposit cultivate users;conglomeration innovate;62168;false;true;true;false;2021-07-23T16:14:15;2021-07-24T09:19:14
2;mesh;Compatible optical;3807;false;true;false;false;2021-07-24T08:12:27;2021-07-23T20:39:18
3;leverage Namibia;e-tailers Course Refined;92533;true;false;false;true;2021-07-23T14:21:46;2021-07-23T19:48:03
4;intuitive;harness Switchable;6199;true;false;false;true;2021-07-24T04:27:46;2021-07-23T18:07:54
5;deposit Fish;Research auxiliary Salad;73901;true;true;false;false;2021-07-23T22:51:38;2021-07-24T06:31:38
6;Dong capacitor Personal;bi-directional hacking Identity;39916;true;true;true;false;2021-07-24T08:27:45;2021-07-24T01:02:12
7;human-resource;Steel array implementation;29411;true;false;true;false;2021-07-23T15:01:13;2021-07-24T12:28:10
8;California;Bedfordshire Internal;84338;true;true;true;false;2021-07-24T13:18:24;2021-07-24T10:40:11
9;Functionality Home;Concrete maroon withdrawal;75289;false;true;false;false;2021-07-23T15:33:32;2021-07-24T03:40:21
10;Consultant USB;Vista;83479;true;false;false;true;2021-07-24T00:58:53;2021-07-24T10:11:50
